Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Production,population_2017,PIB_2017,stabilite_politique_2017,taux_dependance_importations,balance_commerciale_quantite,PIB_par_habitant
Afrique du Sud,143.0,35.69,2118.0,63.0,514.0,1667.0,57009756.0,381448814653.456,-0.284803628921509,23.56717102246676,-451.0,6690.939260526848
Albanie,85.0,16.36,47.0,0.0,38.0,13.0,2884169.0,13258268435.6048,0.373770743608475,74.50980392156863,-38.0,4596.911081009746
Algérie,22.0,6.38,277.0,0.0,2.0,275.0,41389189.0,189880896903.073,-0.919614315032959,0.7220216606498195,-2.0,4587.693102734461
Allemagne,71.0,19.47,1739.0,646.0,842.0,1514.0,82658409.0,3765351626105.89,0.574381291866302,35.73853989813243,-196.0,45553.15873677039
Angola,35.0,10.56,319.0,0.0,277.0,42.0,29816766.0,84376935689.3366,-0.387895494699478,86.83385579937304,-277.0,2829.8486727010095
Antigua-et-Barbuda,233.0,54.1,7.0,0.0,7.0,0.0,95426.0,1534855555.55556,0.73206090927124,100.0,-7.0,16084.249109839668
Arabie saoudite,151.0,43.36,1435.0,10.0,722.0,616.0,33101178.999999996,741266133333.333,-0.649625718593597,53.96113602391629,-712.0,22393.9495730147
Argentine,182.0,42.24,1962.0,207.0,8.0,2161.0,43937140.0,643628393281.364,0.162542164325714,0.3688335638543107,199.0,14648.845903064333
Arménie,54.0,16.06,47.0,0.0,35.0,11.0,2944791.0,11527458709.0158,-0.626211166381836,76.08695652173914,-35.0,3914.525244411505
Australie,192.0,47.65,1171.0,42.0,16.0,1269.0,24584620.0,1330890554614.09,0.87606406211853,1.245136186770428,26.0,54135.08749023129
Autriche,65.0,18.2,173.0,78.0,110.0,148.0,8819901.0,414926138132.691,1.02962481975555,42.63565891472868,-32.0,47044.30788199221
Azerbaïdjan,44.0,13.11,129.0,0.0,27.0,104.0,9845320.0,40866627351.9817,-0.751901030540466,20.610687022900763,-27.0,4150.86836710048
Barbade,199.0,46.78,17.0,0.0,2.0,15.0,286232.0,5683150000.0,0.952525317668915,11.76470588235294,-2.0,19855.04765365158
Belgique,44.0,12.65,152.0,656.0,338.0,463.0,11419748.0,500908767351.53,0.41760727763176,42.19725343320849,318.0,43863.38186722947
Belize,110.0,25.69,19.0,0.0,0.0,20.0,375769.0,2266028250.0,0.0304041262716055,0.0,0.0,6030.37570954496
Bolivie (État plurinational de),155.0,36.0,429.0,1.0,1.0,533.0,11192855.0,45927439594.7902,-0.280110895633698,0.18726591760299627,0.0,4103.281923583411
Bosnie-Herzégovine,56.0,16.7,55.0,8.0,10.0,61.0,3351525.0,18326373135.6099,-0.351469874382019,14.084507042253522,-2.0,5468.069948936649
Botswana,12.0,3.39,7.0,0.0,3.0,5.0,2205080.0,16105155856.7708,1.00929582118988,37.5,-3.0,7303.660573208591
Bulgarie,81.0,22.06,157.0,45.0,108.0,107.0,7102444.0,59167647387.606,0.321379661560059,50.23255813953489,-63.0,8330.603857996768
Bélarus,95.0,27.98,265.0,152.0,21.0,463.0,9450231.0,54725405751.1559,-0.0572087056934834,4.338842975206612,131.0,5790.906672139115
Bénin,37.0,14.4,161.0,0.0,123.0,18.0,11175198.0,12701655836.9467,0.026252493262291,87.2340425531915,-123.0,1136.5933594149024
Cameroun,11.0,3.16,82.0,0.0,0.0,81.0,24566073.0,36098547033.1655,-1.09150505065918,0.0,0.0,1469.4471938256268
Canada,154.0,39.02,1433.0,163.0,182.0,1417.0,36732095.0,1649265644244.09,1.08968114852905,11.38211382113821,-19.0,44899.85241092538
Chili,153.0,36.36,672.0,115.0,155.0,712.0,18470439.0,276154259981.097,0.406281590461731,17.87773933102653,-40.0,14951.147613822119
Chypre,91.0,25.08,38.0,1.0,14.0,25.0,1179678.0,22946570628.7576,0.530974149703979,35.8974358974359,-13.0,19451.554262059308
Colombie,111.0,31.99,1643.0,2.0,78.0,1564.0,48909839.0,311866875156.879,-0.779457807540894,4.750304506699147,-76.0,6376.362742819068
Congo,72.0,21.53,110.0,0.0,104.0,7.0,5110695.0,11834473039.3645,-0.533614814281464,93.69369369369369,-104.0,2315.628899663255
Costa Rica,92.0,26.52,134.0,3.0,17.0,133.0,4949954.0,60516044656.5206,0.597007215023041,11.333333333333332,-14.0,12225.577178398142
Croatie,37.0,10.77,45.0,17.0,24.0,61.0,4182857.0,56182782585.9052,0.681905686855316,28.235294117647058,-7.0,13431.676623395253
Côte d'Ivoire,8.0,2.53,65.0,0.0,7.0,58.0,24437470.0,52512343996.69,-1.09111630916595,10.76923076923077,-7.0,2148.845359060901
Danemark,112.0,28.98,167.0,139.0,133.0,173.0,5732274.0,331610593961.988,0.854937553405762,43.4640522875817,6.0,57849.745835943635
Dominique,150.0,35.19,4.0,0.0,4.0,0.0,71458.0,563355555.555555,1.17277669906616,100.0,-4.0,7883.729681149136
El Salvador,71.0,20.43,131.0,2.0,16.0,136.0,6388126.0,24979190000.0,-0.263820260763168,10.526315789473683,-14.0,3910.2531791013516
Espagne,105.0,30.39,1497.0,212.0,205.0,1515.0,46647428.0,1321754088818.83,0.270845949649811,11.918604651162791,7.0,28334.983202478605
Estonie,86.0,21.26,29.0,11.0,21.0,20.0,1319390.0,27469461919.1189,0.642370760440826,51.21951219512195,-10.0,20819.819703892634
Eswatini,22.0,6.46,7.0,0.0,2.0,6.0,1124805.0,4462640651.49219,-0.27087739109993,25.0,-2.0,3967.4793866422983
Fidji,97.0,28.02,26.0,0.0,3.0,23.0,877459.0,5353469174.47838,0.585380256175995,11.538461538461538,-3.0,6101.10463791286
Finlande,68.0,18.76,111.0,12.0,16.0,129.0,5511371.0,253846138440.0,1.06380820274353,11.03448275862069,-4.0,46058.619250999436
France,92.0,22.9,1573.0,501.0,506.0,1750.0,64842509.0,2588868323334.71,0.265701532363892,22.429078014184398,-5.0,39925.48041801884
Fédération de Russie,104.0,30.98,4556.0,115.0,226.0,4444.0,145530082.0,1574199360089.0,-0.642759621143341,4.839400428265525,-111.0,10817.003182125603
Gabon,99.0,29.33,78.0,0.0,76.0,4.0,2064822.9999999998,14929487485.1623,-0.105890899896622,95.0,-76.0,7230.395770079228
Ghana,16.0,7.24,211.0,0.0,151.0,60.0,29121465.0,60385409434.8567,0.0820369869470596,71.56398104265402,-151.0,2073.570455155903
Grèce,53.0,15.32,178.0,29.0,79.0,246.0,10569450.0,200381103984.298,-0.0812440440058708,24.307692307692307,-50.0,18958.517612959804
Guatemala,71.0,20.58,357.0,7.0,129.0,235.0,16914970.0,71653780740.4226,-0.651365458965302,35.43956043956044,-122.0,4236.116336027945
Guyana,165.0,38.34,32.0,0.0,0.0,31.0,775222.0,4748174334.14044,-0.049440186470747,0.0,0.0,6124.922066376393
Géorgie,51.0,15.27,61.0,5.0,51.0,22.0,4008716.0,16473125375.0684,-0.375214755535126,69.86301369863014,-46.0,4109.32711997268
Honduras,93.0,21.73,205.0,1.0,12.0,193.0,9429013.0,23136247990.5977,-0.565637111663818,5.853658536585367,-11.0,2453.7295675165255
Hongrie,104.0,25.27,266.0,210.0,58.0,493.0,9729823.0,143335098991.862,0.796200513839722,10.526315789473683,152.0,14731.521733937196
Indonésie,25.0,7.19,2323.0,0.0,1.0,2301.0,264650963.0,1015618744159.73,-0.504938721656799,0.043440486533449174,-1.0,3837.578116652196
Iran (République islamique d'),96.0,27.52,2220.0,45.0,6.0,2174.0,80673883.0,510239893417.645,-0.933828890323639,0.27522935779816515,39.0,6324.722133650676
Iraq,52.0,14.95,566.0,0.0,470.0,96.0,37552781.0,187217660050.676,-2.29594969749451,83.03886925795054,-470.0,4985.453941498394
Irlande,100.0,25.82,128.0,93.0,99.0,110.0,4753279.0,348355212568.515,0.993410110473633,47.368421052631575,-6.0,73287.3480745639
Islande,104.0,29.95,10.0,0.0,2.0,10.0,334393.0,25060086487.8901,1.33768677711487,16.666666666666664,-2.0,74942.01878594977
Israël,234.0,67.39,636.0,3.0,0.0,629.0,8243848.0,358451839052.991,-0.894905745983124,0.0,3.0,43481.13151200641
Italie,65.0,18.88,1173.0,183.0,97.0,1315.0,60673701.0,1970720904584.71,0.292910486459732,6.869688385269122,86.0,32480.64436657177
Jamaïque,178.0,51.1,152.0,1.0,31.0,128.0,2920848.0,15783583236.675,0.298303365707397,19.49685534591195,-30.0,5403.767411612997
Japon,67.0,18.5,2415.0,10.0,1069.0,2215.0,127502725.0,4930837369151.42,1.10012805461884,32.55176613885505,-1059.0,38672.40773992414
Jordanie,98.0,28.07,275.0,10.0,64.0,210.0,9785843.0,41608435915.493,-0.434586673974991,23.357664233576642,-54.0,4251.901028403276
Kazakhstan,61.0,18.27,331.0,6.0,174.0,171.0,18080019.0,166805788827.233,0.0243496801704168,50.43478260869565,-168.0,9225.974199874072
Kenya,2.0,0.67,35.0,0.0,0.0,35.0,50221142.0,82036510877.2599,-1.12843883037567,0.0,0.0,1633.5054841496815
Kirghizistan,11.0,3.1,32.0,0.0,25.0,7.0,6189733.0,7702938379.42036,-0.362505912780762,78.125,-25.0,1244.4702185732986
Koweït,156.0,46.25,189.0,4.0,137.0,56.0,4056099.0,120687539805.505,-0.0512290969491005,70.98445595854922,-133.0,29754.58434458947
Lesotho,27.0,7.93,17.0,0.0,15.0,2.0,2091534.0,2306741672.29006,-0.194124817848206,88.23529411764706,-15.0,1102.8946564053274
Lettonie,72.0,20.89,41.0,20.0,43.0,33.0,1951097.0,29391059767.4259,0.452954679727554,56.57894736842105,-23.0,15063.863953163733
Liban,38.0,10.74,73.0,4.0,13.0,64.0,6819373.0,53027680685.9038,-1.62222766876221,16.883116883116884,-9.0,7776.034642173672
Libéria,36.0,10.67,50.0,0.0,48.0,15.0,4702226.0,3390703400.0,-0.319722712039948,76.19047619047619,-48.0,721.0847373137743
Lituanie,96.0,28.19,82.0,68.0,44.0,118.0,2845414.0,47756764508.446,0.765565991401672,27.160493827160494,24.0,16783.766618300888
Luxembourg,69.0,18.33,11.0,1.0,11.0,0.0,591910.0,65712180342.9836,1.3128936290741,100.0,-10.0,111017.18224558396
Macédoine du Nord,68.0,19.73,41.0,1.0,40.0,2.0,2081996.0,11307067069.6658,-0.258880764245987,95.23809523809523,-39.0,5430.878382891129
Malaisie,142.0,39.21,1621.0,44.0,68.0,1724.0,31104646.0,319109094160.343,0.111209630966187,3.7946428571428568,-24.0,10259.209963692982
Malte,103.0,27.17,14.0,0.0,9.0,4.0,437933.0,14161366724.1955,1.23830890655518,69.23076923076923,-9.0,32336.834000167833
Maroc,70.0,20.96,746.0,1.0,3.0,762.0,35581255.0,118540573367.844,-0.37808883190155,0.39215686274509803,-2.0,3331.5455952254633
Maurice,128.0,37.93,49.0,0.0,2.0,48.0,1264499.0,13896938315.2799,0.962365567684174,4.0,-2.0,10990.074579165266
Mexique,123.0,32.52,4219.0,9.0,972.0,3249.0,124777324.0,1190721475906.0,-0.806419789791107,23.02771855010661,-963.0,9542.771376520304
Monténégro,55.0,15.98,10.0,0.0,8.0,4.0,627563.0,4803962015.62122,-0.0625774934887886,66.66666666666666,-8.0,7654.947814994223
Myanmar,116.0,30.37,1666.0,0.0,3.0,1662.0,53382523.0,66053040475.0257,-1.08409464359283,0.18018018018018017,-3.0,1237.3532902336913
Namibie,40.0,11.53,28.0,12.0,29.0,11.0,2402633.0,12895153370.9132,0.621906340122223,72.5,-17.0,5367.092423567478
Nicaragua,93.0,21.59,138.0,0.0,6.0,143.0,6384846.0,13785893007.4769,-0.0538226664066315,4.026845637583892,-6.0,2159.1582643460624
Niger,3.0,0.94,21.0,0.0,3.0,19.0,21602382.0,11185104251.6943,-1.25950562953949,13.636363636363635,-3.0,517.7718018177023
Nigéria,2.0,1.01,202.0,0.0,0.0,201.0,190873244.0,375745731053.427,-1.99671792984009,0.0,0.0,1968.561560432362
Norvège,66.0,19.05,102.0,0.0,2.0,101.0,5296326.0,401745275035.261,1.15070176124573,1.9417475728155338,-2.0,75853.57756211777
Nouvelle-Zélande,140.0,34.79,168.0,23.0,1.0,223.0,4702034.0,206745969246.073,1.56194603443146,0.4464285714285714,22.0,43969.47560270151
Oman,73.0,21.63,114.0,16.0,126.0,7.0,4665928.0,80856697009.1027,0.749312877655029,94.73684210526315,-110.0,17329.17803470236
Ouganda,5.0,1.52,66.0,0.0,0.0,65.0,41166588.0,30744473841.424,-0.569948732852936,0.0,0.0,746.8307512253384
Pakistan,20.0,5.86,1282.0,4.0,2.0,1281.0,207906209.0,339205534861.1,-2.39691209793091,0.1558846453624318,2.0,1631.5315280511895
Panama,117.0,33.82,192.0,0.0,20.0,198.0,4106769.0,64327688826.3137,0.380334168672562,9.174311926605505,-20.0,15663.819617395986
Paraguay,22.0,5.99,41.0,4.0,1.0,45.0,6867061.0,38997129473.5613,-0.0028554622549563,2.1739130434782608,3.0,5678.867491283579
Pays-Bas,70.0,20.33,372.0,1418.0,608.0,1100.0,17021347.0,848233537845.884,0.907123684883118,35.597189695550355,810.0,49833.51422457248
Philippines,48.0,13.87,1521.0,2.0,249.0,1272.0,105172925.0,328480736802.76,-1.18929100036621,16.370808678500985,-247.0,3123.244283666733
Pologne,107.0,30.3,1156.0,1025.0,55.0,2351.0,37953180.0,528356676667.211,0.509756147861481,2.28595178719867,970.0,13921.275547061168
Portugal,109.0,30.58,325.0,44.0,82.0,361.0,10288527.0,220862990767.229,1.10616970062256,18.510158013544018,-38.0,21466.920460745157
Pérou,62.0,13.47,1523.0,1.0,60.0,1465.0,31444298.0,211007984080.911,-0.2635098695755,3.934426229508197,-59.0,6710.5325131097225
Roumanie,66.0,19.37,381.0,69.0,146.0,392.0,19653969.0,210147385855.419,0.0485141687095165,27.137546468401485,-77.0,10692.36375896487
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,120.0,31.94,2234.0,359.0,779.0,1814.0,66727460.99999999,2699118387873.1,0.380680292844772,30.042421905129196,-420.0,40449.88895760773
Rwanda,5.0,1.49,19.0,0.0,0.0,19.0,11980961.0,9252833891.40871,0.0782710164785385,0.0,0.0,772.294801010429
République de Corée,62.0,16.7,854.0,6.0,137.0,838.0,51096415.0,1710196756713.17,0.381830722093582,14.051282051282051,-131.0,33469.99504198426
République de Moldova,55.0,16.14,66.0,0.0,16.0,54.0,4059684.0,9514404016.20949,-0.31498920917511,22.857142857142858,-16.0,2343.6316758174994
République dominicaine,123.0,35.26,375.0,6.0,42.0,339.0,10513104.0,79070274743.1658,0.152073904871941,11.023622047244094,-36.0,7521.1160037193395
Samoa,217.0,64.77,15.0,0.0,17.0,0.0,195352.0,884844384.463214,1.16163432598114,100.0,-17.0,4529.487204959325
Serbie,35.0,10.16,90.0,7.0,12.0,85.0,8829628.0,45972834713.8077,0.0833679884672165,12.371134020618557,-5.0,5206.655899184847
Sierra Leone,10.0,3.97,30.0,0.0,14.0,17.0,7488423.0,5749846528.48046,-0.0394265502691269,45.16129032258064,-14.0,767.8314283902579
Slovaquie,48.0,13.9,74.0,35.0,63.0,71.0,5447900.0,95978130734.9766,0.902731478214264,47.01492537313433,-28.0,17617.45456689304
Slovénie,83.0,24.41,52.0,29.0,20.0,72.0,2076393.9999999998,48153200134.6613,0.866365492343903,21.73913043478261,9.0,23190.781775838932
Sri Lanka,26.0,7.78,192.0,2.0,0.0,192.0,21128032.0,94369350285.5814,-0.0754480063915253,0.0,2.0,4466.547110756998
Suisse,55.0,15.72,133.0,4.0,51.0,91.0,8455804.0,695200833086.499,1.24231648445129,35.91549295774648,-47.0,82215.81686218118
Suriname,112.0,31.06,25.0,5.0,18.0,10.0,570496.0,3591679430.99988,0.11980140209198,64.28571428571429,-13.0,6295.713608859448
Suède,61.0,16.6,187.0,23.0,84.0,157.0,9904896.0,535172356784.769,0.968603014945984,34.85477178423236,-61.0,54031.09298520337
Sénégal,16.0,4.76,77.0,0.0,0.0,77.0,15419355.0,20996562943.5979,-0.0557225905358791,0.0,0.0,1361.7017666172094
Tchad,2.0,0.45,7.0,0.0,1.0,6.0,15016753.0,13349041408.7152,-1.28639268875122,14.285714285714285,-1.0,888.9432628155502
Tchéquie,82.0,21.96,249.0,27.0,116.0,163.0,10641034.0,221563575696.217,0.990650773048401,41.57706093189964,-89.0,20821.620877841102
Thaïlande,47.0,12.95,881.0,796.0,2.0,1676.0,69209810.0,456356813536.764,-0.754879415035248,0.11918951132300357,794.0,6593.816881404009
Togo,24.0,7.06,54.0,0.0,16.0,40.0,7698474.0,6387424239.8801,-0.874444663524628,28.57142857142857,-16.0,829.7000470327107
Trinité-et-Tobago,189.0,54.54,76.0,0.0,23.0,61.0,1384059.0,23830750900.6899,0.269299238920212,27.380952380952383,-23.0,17218.01664574263
Tunisie,57.0,17.03,195.0,4.0,0.0,213.0,11433443.0,42163530590.9462,-1.02349054813385,0.0,4.0,3687.7369827221946
Turquie,71.0,20.64,1674.0,429.0,3.0,2192.0,81116450.0,863874522365.276,-1.78637635707855,0.1366742596810934,426.0,10649.806819273723
Ukraine,78.0,22.62,1009.0,273.0,121.0,1211.0,44487709.0,112090505081.739,-1.86741781234741,9.084084084084084,152.0,2519.5836693172714
Uruguay,33.0,9.12,33.0,3.0,3.0,33.0,3436641.0,65005997963.4822,1.04009222984314,8.333333333333332,0.0,18915.562598328484
Venezuela (République bolivarienne du),71.0,20.28,626.0,0.0,25.0,600.0,29402484.0,115883275162.586,-1.2522406578064,4.0,-25.0,3941.2750012069046
Viet Nam,48.0,12.33,1206.0,1.0,291.0,918.0,94600648.0,281353605986.903,0.211102172732353,24.069478908188586,-290.0,2974.1192257679145
Yémen,30.0,8.53,246.0,0.0,78.0,168.0,27834819.0,26842229044.5848,-2.93431735038757,31.70731707317073,-78.0,964.3399888673536
Zambie,11.0,3.42,60.0,1.0,12.0,49.0,16853599.0,25873601260.8353,0.142043307423592,19.672131147540984,-11.0,1535.1973937931773
Égypte,50.0,12.96,1250.0,1.0,110.0,1118.0,96442591.0,248362771739.13,-1.42964589595795,8.957654723127035,-109.0,2575.2395198417057
Émirats arabes unis,147.0,43.47,412.0,94.0,433.0,48.0,9487203.0,403365010211.028,0.601949751377106,90.02079002079002,-339.0,42516.74705506228
Équateur,83.0,19.31,341.0,0.0,0.0,340.0,16785361.0,104467486000.0,-0.0789320766925812,0.0,0.0,6223.7259002055425
Îles Salomon,18.0,4.45,3.0,0.0,6.0,0.0,636039.0,1469790526.3972,0.188088729977608,100.0,-6.0,2310.849690659221
